pair_id,trajectory_state_index,variant,first_action_mean_pairwise_l2,first_action_max_pairwise_l2,exec10_mean_pairwise_l2,exec10_max_pairwise_l2,exec10_centroid_rmse,exec10_arm_mean_pairwise_l2,exec10_gripper_mean_pairwise_abs,full50_mean_pairwise_l2,full50_max_pairwise_l2,exec10_dim0_mean_pairwise_abs,exec10_dim1_mean_pairwise_abs,exec10_dim2_mean_pairwise_abs,exec10_dim3_mean_pairwise_abs,exec10_dim4_mean_pairwise_abs,exec10_dim5_mean_pairwise_abs,exec10_dim6_mean_pairwise_abs
26,41,perturbed,0.08463793247938156,0.14362485706806183,0.09378673881292343,0.20959119498729706,0.02471986785531044,0.09370864927768707,0.003133288584649563,0.1891201138496399,2.107800006866455,0.037202127277851105,0.01798325777053833,0.061316315084695816,0.006541335489600897,0.03497844934463501,0.01545922551304102,0.003133288584649563
27,43,clean,0.13935507833957672,0.240300253033638,0.0676075890660286,0.240300253033638,0.01975443959236145,0.0675366073846817,0.0023830903228372335,0.1786690056324005,2.0940682888031006,0.030560219660401344,0.02472667768597603,0.032453808933496475,0.00445683253929019,0.024870343506336212,0.013718989677727222,0.0023830903228372335
27,43,perturbed,0.10989174991846085,0.19560031592845917,0.12965810298919678,0.3847759962081909,0.03590074181556702,0.1295841634273529,0.0030890966299921274,0.20182324945926666,2.143453598022461,0.06267301738262177,0.025436054915189743,0.09293670952320099,0.0038397377356886864,0.026603739708662033,0.024137035012245178,0.0030890966299921274
28,44,clean,0.07874660193920135,0.1215711236000061,0.06712032854557037,0.262749582529068,0.019928675144910812,0.06703373789787292,0.0026353204157203436,0.19052758812904358,2.1207103729248047,0.028335977345705032,0.030258579179644585,0.03132152929902077,0.003457943443208933,0.02357598952949047,0.0140154417604208,0.0026353204157203436
28,44,perturbed,0.059972502291202545,0.09937751293182373,0.14457136392593384,0.39368611574172974,0.03995021805167198,0.1444753259420395,0.003578908508643508,0.21472419798374176,2.162958860397339,0.0742812305688858,0.04569249972701073,0.09675239771604538,0.004762507975101471,0.024183904752135277,0.023038821294903755,0.003578908508643508
29,45,clean,0.04574941098690033,0.06404957175254822,0.07529893517494202,0.26279035210609436,0.02268834039568901,0.07523467391729355,0.002267143689095974,0.19127729535102844,2.1231846809387207,0.028607258573174477,0.04513631388545036,0.029480446130037308,0.003149966709315777,0.022806650027632713,0.013414344750344753,0.002267143689095974
29,45,perturbed,0.089993417263031,0.15303359925746918,0.1555270552635193,0.3910144865512848,0.042096491903066635,0.15545234084129333,0.0032567118760198355,0.23174552619457245,2.196157217025757,0.07880432903766632,0.0626402199268341,0.09037980437278748,0.006230044178664684,0.024270696565508842,0.025972962379455566,0.0032567118760198355
30,47,clean,0.06658510118722916,0.10356234759092331,0.10226240754127502,0.28086286783218384,0.030221274122595787,0.10221144556999207,0.0021639573387801647,0.15331213176250458,2.044710636138916,0.03592684864997864,0.06847457587718964,0.03187955170869827,0.005520341452211142,0.02797994390130043,0.013067210093140602,0.0021639573387801647
30,47,perturbed,0.10906147956848145,0.18343113362789154,0.17230913043022156,0.39355093240737915,0.0456753633916378,0.17221927642822266,0.004023020155727863,0.24174770712852478,2.1172542572021484,0.0804506242275238,0.07803139090538025,0.09412720799446106,0.009484834037721157,0.02572046034038067,0.02382996492087841,0.004023020155727863
31,48,clean,0.07222769409418106,0.10968229174613953,0.11651383340358734,0.2808378040790558,0.03380241617560387,0.11645907163619995,0.002553560771048069,0.19772258400917053,2.082427501678467,0.03638339787721634,0.08205569535493851,0.0321466401219368,0.00877439510077238,0.0313522107899189,0.01366449985653162,0.002553560771048069
31,48,perturbed,0.11792276054620743,0.19219423830509186,0.17140254378318787,0.3881092071533203,0.04500989243388176,0.1713220626115799,0.0037444960325956345,0.21870477497577667,2.104361057281494,0.0798979327082634,0.08277565985918045,0.09320278465747833,0.008781150914728642,0.02730400487780571,0.0235841516405344,0.0037444960325956345
32,49,clean,0.08728890866041183,0.14662107825279236,0.16666577756404877,0.36457452178001404,0.04491344839334488,0.16662436723709106,0.002727220067754388,0.23663459718227386,2.1468987464904785,0.06324401497840881,0.09202878177165985,0.08034729957580566,0.014874459244310856,0.041680920869112015,0.014094685204327106,0.002727220067754388
32,49,perturbed,0.140317901968956,0.20535066723823547,0.1890728920698166,0.3425511419773102,0.047704633325338364,0.18902379274368286,0.0030405474826693535,0.297890305519104,2.182854175567627,0.08214520663022995,0.1002032682299614,0.09139640629291534,0.012742850929498672,0.02861286699771881,0.025656744837760925,0.0030405474826693535
33,50,clean,0.10115424543619156,0.16258247196674347,0.18833638727664948,0.3935968577861786,0.04996924102306366,0.1882951706647873,0.003004305297508836,0.2545151114463806,2.165800094604492,0.06553494185209274,0.09833836555480957,0.09739181399345398,0.016275497153401375,0.04805651679635048,0.01478625275194645,0.003004305297508836
33,50,perturbed,0.15424460172653198,0.23071487247943878,0.1909899115562439,0.3532729148864746,0.048201724886894226,0.19095516204833984,0.0026122797280550003,0.26834192872047424,2.128041982650757,0.07961637526750565,0.10255397111177444,0.09741785377264023,0.01258096657693386,0.030188903212547302,0.024935219436883926,0.0026122797280550003
34,52,clean,0.16250379383563995,0.25107428431510925,0.21778978407382965,0.3926042914390564,0.05632098764181137,0.21772532165050507,0.00386499403975904,0.27557873725891113,2.1970810890197754,0.07291046530008316,0.10658721625804901,0.11951171606779099,0.01884332112967968,0.048800934106111526,0.015682987868785858,0.00386499403975904
34,52,perturbed,0.197695791721344,0.29396581649780273,0.2324960082769394,0.4905308783054352,0.05859437957406044,0.23246997594833374,0.0025749539490789175,0.3750244081020355,2.359924554824829,0.08558614552021027,0.1209486573934555,0.1261518895626068,0.018468059599399567,0.03090260736644268,0.02545061893761158,0.0025749539490789175
35,53,clean,0.24663245677947998,0.4092855155467987,0.2359181046485901,0.4154894948005676,0.06172029301524162,0.23588262498378754,0.0031851220410317183,0.2862418293952942,2.159761905670166,0.07835744321346283,0.1072329729795456,0.135138601064682,0.020448219031095505,0.04667608439922333,0.015105280093848705,0.0031851220410317183
35,53,perturbed,0.243004709482193,0.34273138642311096,0.2491304725408554,0.5674543976783752,0.06524571031332016,0.24909469485282898,0.00311917788349092,0.35733482241630554,2.3304543495178223,0.0848509892821312,0.12055382877588272,0.14780700206756592,0.021175896748900414,0.030964462086558342,0.027674898505210876,0.00311917788349092
36,54,clean,0.2751348614692688,0.4153234660625458,0.2238939255475998,0.4153234660625458,0.05864928290247917,0.22386352717876434,0.0028688812162727118,0.3014252185821533,2.1976375579833984,0.07028790563344955,0.105413056910038,0.1253858506679535,0.02293248660862446,0.0403384193778038,0.01735370233654976,0.0028688812162727118
