pair_id,trajectory_state_index,stage,manipulation_critical,clean_disagreement,perturbed_disagreement,disagreement_delta,perturbed_over_clean_ratio,counterexample,eef_object_distance_m,object_lift_height_m,object_target_xy_distance_m,clean_visible_pixels_mean,perturbed_visible_pixels_mean,visibility_gain_fraction,clean_min_visibility_view,largest_visibility_gain_view,largest_rgb_change_view,clean_max_action_disagreement_view,perturbed_max_action_disagreement_view,largest_matched_action_response_view,rgb_change_fraction_mean,rgb_pixel_fraction_change_over_10_mean
39,58,lift_transport,True,0.13358253240585327,0.25047168135643005,0.11688914895057678,1.8750331861911533,False,0.04778066926910526,0.04405321555141839,0.10310661746763639,465.8,785.6,0.6865607556891369,yaw_p015,nominal,nominal,nominal,nominal,nominal,0.003532056621476716,0.0123870849609375
40,59,lift_transport,True,0.13078173995018005,0.3092431426048279,0.17846140265464783,2.3645743107763426,False,0.047807212975199465,0.05439934858615847,0.09834098973423436,476.4,800.6,0.6805205709487827,yaw_p015,nominal,nominal,nominal,yaw_m015,nominal,0.003591176949295343,0.0126251220703125
41,61,lift_transport,True,0.12979038059711456,0.22741581499576569,0.09762543439865112,1.7521777342012161,False,0.048017671489868824,0.07396030167699041,0.08474346380113074,504.6,839.8,0.6642885453824809,yaw_m015,nominal,nominal,nominal,nominal,yaw_m030,0.0037440400965073535,0.01322021484375
42,62,lift_transport,True,0.11706432700157166,0.16271629929542542,0.04565197229385376,1.3899733886757906,False,0.04811659537095852,0.08189852129807229,0.07798743814190937,506.0,844.6,0.6691699604743084,yaw_m015,nominal,nominal,nominal,yaw_m030,yaw_m015,0.0038087014590992645,0.0133270263671875
43,63,lift_transport,True,0.12868216633796692,0.13150522112846375,0.002823054790496826,1.021938197582736,False,0.048281664554199875,0.08724664969967766,0.07050537750782677,521.6,860.2,0.6491564417177915,yaw_m030,nominal,nominal,yaw_m030,yaw_m030,yaw_m015,0.003855375402113971,0.01351318359375
44,65,place_alignment,False,0.1082993820309639,0.11399516463279724,0.0056957826018333435,1.0525929372358271,False,0.048699784319423615,0.09242325411203067,0.05467228972495819,549.0,881.6,0.6058287795992714,yaw_m030,nominal,nominal,yaw_m030,yaw_m030,nominal,0.003946676815257353,0.0138641357421875
45,66,place_alignment,False,0.11650650203227997,0.10689716041088104,-0.009609341621398926,0.9175209842044996,True,0.048933937629551186,0.09329292798384847,0.046184740355267054,546.0,883.8,0.6186813186813187,yaw_m030,nominal,nominal,nominal,yaw_m030,yaw_m030,0.0039793844784007356,0.0139312744140625
46,67,place_alignment,False,0.12957395613193512,0.09337585419416428,-0.036198101937770844,0.7206375183843803,True,0.049144397203577876,0.0931599564751987,0.03718654639589504,542.4,888.6,0.638274336283186,yaw_m030,yaw_p030,nominal,nominal,nominal,nominal,0.004030893363204656,0.0140045166015625
47,69,place_alignment,False,0.17080318927764893,0.09026116132736206,-0.08054202795028687,0.5284512643416637,True,0.049529556584087704,0.08780913118952594,0.017932333083904933,545.2,901.6,0.6537050623624356,yaw_m030,nominal,nominal,nominal,nominal,nominal,0.004092311485140931,0.0142547607421875
48,70,place_alignment,False,0.13178695738315582,0.0951925739645958,-0.03659438341856003,0.7223216610717709,True,0.04961901035332704,0.08222891122506637,0.010040416319743659,548.2,913.8,0.66690988690259,yaw_m030,nominal,nominal,nominal,nominal,nominal,0.004141965379901961,0.0144989013671875
49,71,place_alignment,False,0.11559455096721649,0.22283653914928436,0.10724198818206787,1.9277425906735217,False,0.04967362799066749,0.0753055144732252,0.008001310328197283,550.4,922.6,0.6762354651162792,yaw_m030,nominal,nominal,nominal,yaw_m030,nominal,0.004140708773743873,0.0144989013671875
